City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wynyard,-41.0,145.7167,14.88,92,100,5.33,AU,1702505621
1,east london,-33.0153,27.9116,20.13,89,97,7.26,ZA,1702505621
2,isafjordur,66.0755,-23.124,1.07,87,57,4.35,IS,1702505591
3,okoneshnikovo,54.8377,75.0834,-19.13,80,100,5.91,RU,1702505622
4,iqaluit,63.7506,-68.5145,-13.15,72,75,3.09,CA,1702505579
5,bahia de kino,28.8333,-111.9333,25.96,48,0,3.16,MX,1702505623
6,manisa,38.8333,28.1667,7.48,60,13,2.24,TR,1702505623
7,edinburgh of the seven seas,-37.0676,-12.3116,15.25,87,100,5.42,SH,1702505581
8,alcacer do sal,38.3733,-8.5144,9.55,84,0,2.85,PT,1702505624
9,klyuchi,52.2667,79.1667,-22.14,78,96,2.96,RU,1702505589
10,port-aux-francais,-49.35,70.2167,7.93,97,100,18.8,TF,1702505578
11,tazovsky,67.4667,78.7,-23.61,99,98,3.02,RU,1702505461
12,grytviken,-54.2811,-36.5092,2.98,96,100,2.56,GS,1702505584
13,lianzhou,24.7811,112.3825,17.18,97,60,1.28,CN,1702505626
14,stanley,54.868,-1.6985,-0.12,94,72,1.74,GB,1702505575
15,mont-tremblant,46.1949,-74.6264,-7.45,82,98,4.67,CA,1702505460
16,inarajan village,13.2736,144.7484,28.54,86,27,7.85,GU,1702505627
17,tiksi,71.6872,128.8694,-17.71,99,100,3.16,RU,1702505598
18,williamsport,41.2412,-77.0011,4.01,38,0,9.26,US,1702505507
19,dudinka,69.4058,86.1778,-24.07,94,99,8.05,RU,1702505628
20,keflavik,64.0049,-22.5624,4.95,93,75,6.17,IS,1702505628
21,luorong,24.4058,109.6086,19.46,89,100,0.68,CN,1702505628
22,yuzhno-kurilsk,44.0306,145.8556,-2.57,69,100,12.92,RU,1702505629
23,blackmans bay,-43.0167,147.3167,18.07,80,68,1.41,AU,1702505582
24,weno,7.4515,151.8468,27.97,89,100,2.57,FM,1702505630
25,bredasdorp,-34.5322,20.0403,16.29,70,100,4.61,ZA,1702505630
26,ndele,8.4109,20.6473,23.48,24,72,2.26,CF,1702505630
27,nynashamn,58.9034,17.9479,-4.38,94,96,6.06,SE,1702505631
28,huancavelica,-12.7667,-74.9833,10.64,63,86,1.59,PE,1702505631
29,soure,-0.7167,-48.5233,27.58,77,67,5.34,BR,1702505631
30,port mathurin,-19.6833,63.4167,26.31,74,7,4.9,MU,1702505601
31,boende,-0.2167,20.8667,22.36,94,83,0.35,CD,1702505632
32,georgetown,5.4112,100.3354,25.96,89,20,3.6,MY,1702505627
33,mar del plata,-38.0023,-57.5575,19.9,62,0,5.14,AR,1702505583
34,waitangi,-43.9535,-176.5597,12.68,78,65,4.02,NZ,1702505580
35,emporia,38.4039,-96.1817,11.11,54,0,2.06,US,1702505412
36,sabang,5.8933,95.3214,27.43,78,100,7.02,ID,1702505634
37,chui,-33.6971,-53.4616,22.6,88,100,1.78,UY,1702505634
38,vila franca do campo,37.7167,-25.4333,14.23,70,100,4.26,PT,1702505634
39,theodore,30.5477,-88.1753,17.03,36,0,4.63,US,1702505635
40,ust-nera,64.5667,143.2,-29.81,99,99,1.23,RU,1702505635
41,ta`u,-14.2336,-169.5144,26.58,87,100,7.48,AS,1702505635
42,albany,42.6001,-73.9662,1.31,72,46,1.79,US,1702505379
43,dunedin,-45.8742,170.5036,14.89,54,51,5.81,NZ,1702505636
44,port elizabeth,-33.918,25.5701,17.16,94,0,2.57,ZA,1702505589
45,malango,-2.9627,119.9001,20.64,97,100,0.49,ID,1702505637
46,yellowknife,62.456,-114.3525,1.29,86,75,4.63,CA,1702505637
47,nadi,-17.8,177.4167,30.0,45,20,1.54,FJ,1702505586
48,nuuk,64.1835,-51.7216,-7.66,79,75,1.54,GL,1702505638
49,adamstown,-25.066,-130.1015,23.45,83,99,4.75,PN,1702505578
50,susuman,62.7833,148.1667,-26.3,100,100,1.58,RU,1702505638
51,bilibino,68.0546,166.4372,-25.48,99,91,2.09,RU,1702505599
52,whitehorse,60.7161,-135.0538,-2.57,80,75,4.63,CA,1702505639
53,kruisfontein,-34.0033,24.7314,14.38,94,53,0.26,ZA,1702505640
54,jamestown,42.097,-79.2353,1.77,59,0,4.12,US,1702505640
55,longboat key,27.4125,-82.659,24.03,60,75,7.2,US,1702505611
56,luau,-10.7073,22.2247,18.35,98,93,1.6,AO,1702505641
57,hamilton,39.1834,-84.5333,7.35,44,0,1.34,US,1702505597
58,kodiak,57.79,-152.4072,-7.27,73,100,4.12,US,1702505579
59,lucapa,-8.4192,20.7447,19.12,97,100,1.52,AO,1702505642
60,mount isa,-20.7333,139.5,31.87,48,63,6.17,AU,1702505642
61,kulachi,31.9286,70.4592,14.64,30,100,2.11,PK,1702505642
62,san julian,21.0167,-102.1667,15.88,49,100,0.59,MX,1702505643
63,thompson,55.7435,-97.8558,-3.91,74,75,2.57,CA,1702505643
64,zouerate,22.7187,-12.4521,20.16,23,5,3.39,MR,1702505644
65,bethel,41.3712,-73.414,4.87,49,20,4.12,US,1702505598
